"gene_id","gene_name","isoform_id","region","stage","stage_index","target_mean_if","other_mean_if","target_difference","target_vs_other_1","target_vs_other_2","other_region_difference","max_pair_q","max_pair_q_by","state","gene_simes_p","gene_q","gene_bonferroni_p","gene_q_by"
"Celf2","Celf2","NM_001110228","Midbrain","15.5",6,0.0072,0.69065,-0.68345,-0.68345,-0.68345,0,7.83117866155334e-24,1.03294140545254e-22,-1,4.37950392513169e-27,2.00449894653278e-23,8.75900785026338e-27,3.61055319139331e-22
"Scg3","Scg3","NM_001164790","Midbrain","15.5",6,0,0.605825,-0.605825,-0.60585,-0.6058,4.99999999998835e-05,2.69939487499784e-22,3.56053265613862e-21,-1,8.62633178876038e-26,1.97413602985781e-22,2.98182405842091e-25,6.1456928423584e-21
"Scg3","Scg3","NM_009130","Midbrain","15.5",6,1,0.394175,0.605825,0.60585,0.6058,-4.99999999999945e-05,2.69939487499784e-22,3.56053265613862e-21,1,8.62633178876038e-26,1.97413602985781e-22,2.98182405842091e-25,6.1456928423584e-21
"Sh3kbp1","Sh3kbp1","NM_001290664","Midbrain","15.5",6,0.1675,0.0011,0.1664,0.1664,0.1664,0,2.69939487499784e-22,3.56053265613862e-21,1,2.5685871758738e-25,3.91880783465813e-22,5.1371743517476e-25,7.05865381388997e-21
"Prom1","Prom1","NM_001163577","Midbrain","15.5",6,0,0.62035,-0.62035,-0.62035,-0.62035,0,4.77143013628881e-22,6.29357081992452e-21,-1,1.14358795309311e-24,1.30855051532679e-21,2.28717590618621e-24,2.35699362545673e-20
"Atp2a2","Atp2a2","NM_009722","Midbrain","15.5",6,0.9178,0.0048,0.913,0.913,0.913,8.67361737988404e-19,2.82872071469213e-19,3.73111491506598e-18,1,4.06782558635922e-22,3.72368754175323e-19,8.13565117271845e-22,6.70719830553366e-18
"Rbfox2","Rbfox2","NM_001110830","Midbrain","15.5",6,0,0.359725,-0.359725,-0.36035,-0.3591,0.00124999999999997,7.21384071083892e-18,9.51513825006604e-17,-1,2.82398493913164e-20,2.15422984440092e-17,5.4937178790135e-20,3.77427842661621e-16
"Sh3glb1","Sh3glb1","NM_001282037","Midbrain","15.5",6,0.0012,0.59085,-0.58965,-0.58965,-0.58965,0,3.03609846176557e-17,4.00464853085905e-16,-1,8.00441393610801e-20,4.57952532319579e-17,1.6008827872216e-19,8.24875453256352e-16
"Gpm6a","Gpm6a","NM_001253754","Midbrain","15.5",6,0.9969,0.425,0.5719,0.5719,0.5719,0,3.03609846176557e-17,4.00464853085905e-16,1,3.65175567641873e-20,2.3877265329955e-17,1.29768629938294e-19,7.64170927927897e-16
"Gpm6a","Gpm6a","NM_153581","Midbrain","15.5",6,0.0031,0.5746,-0.5715,-0.5715,-0.5715,1.11022302462516e-16,3.03609846176557e-17,4.00464853085905e-16,-1,3.65175567641873e-20,2.3877265329955e-17,1.29768629938294e-19,7.64170927927897e-16
"Abr","Abr","NM_198894","Midbrain","15.5",6,0.5696,0,0.5696,0.5696,0.5696,0,3.03609846176557e-17,4.00464853085905e-16,1,9.62883127932527e-20,4.89679564060797e-17,1.92576625586505e-19,8.82022969300117e-16
"Prom1","Prom1","NM_001163584","Midbrain","15.5",6,0,0.366,-0.366,-0.366,-0.366,-5.55111512312578e-17,3.98685041762304e-17,5.25870121432237e-16,-1,1.14358795309311e-24,1.30855051532679e-21,2.28717590618621e-24,2.35699362545673e-20
"Dcx","Dcx","NM_001110223","Midbrain","15.5",6,0,0.3712,-0.3712,-0.3712,-0.3712,0,4.04038210109534e-17,5.32931011593456e-16,-1,1.87219111499185e-19,7.79001703028881e-17,3.7443822299837e-19,1.40315717792559e-15
"Chtop","Chtop","NM_001293780","Midbrain","15.5",6,0,0.123825,-0.123825,-0.11995,-0.1277,-0.00774999999999999,5.08304584398004e-17,6.70459549574239e-16,-1,4.87309659884641e-19,1.48694420886133e-16,5.76329695829752e-19,1.83299137522954e-15
"Eml1","Eml1","NM_001043336","Midbrain","15.5",6,0,0.471875,-0.471875,-0.47195,-0.4718,0.000149999999999983,5.33548667637355e-17,7.03756783550821e-16,-1,2.89856270666615e-19,1.10556012570091e-16,5.78076003654622e-19,1.83299137522954e-15
"Immt","Immt","NM_001253681","Midbrain","15.5",6,0,0.43025,-0.43025,-0.43025,-0.43025,-5.55111512312578e-17,5.33548667637355e-17,7.03756783550821e-16,-1,3.49703669603137e-19,1.23122591982581e-16,6.99407339206274e-19,2.05930645817476e-15
"Sh3glb2","Sh3glb2","NM_139302","Midbrain","15.5",6,0.7661,0,0.7661,0.7661,0.7661,0,9.53000578812814e-17,1.25701864281147e-15,1,4.11137103586258e-19,1.34412465936736e-16,8.22274207172517e-19,2.2596659451697e-15
"Asph","Asph","NM_001177856","Midbrain","15.5",6,0.01585,0.51915,-0.5033,-0.50325,-0.50335,-9.9999999999989e-05,2.36644225495471e-16,3.12136434934858e-15,-1,3.59210696206275e-18,9.67121974433011e-16,7.16760810517361e-18,1.7379775508017e-14
"Ogdh","Ogdh","NM_001252283","Midbrain","15.5",6,0.000600000000000001,0.288375,-0.287775,-0.2878,-0.28775,4.99999999999945e-05,2.97776780734608e-16,3.92770973178293e-15,-1,2.37897883466172e-18,6.8053663289042e-16,4.75157348107974e-18,1.22415468520618e-14
"Ncam1","Ncam1","NM_010875","Midbrain","15.5",6,0.4173,0.01355,0.40375,0.40375,0.40375,0,1.57883262720437e-15,2.08249825907474e-14,1,7.9465091886135e-18,2.02062069757133e-15,1.5893018377227e-17,3.63959208900101e-14
"Eef1d","Eef1d","NM_029663","Midbrain","15.5",6,0.00385,0.4276,-0.42375,-0.42375,-0.42375,1.11022302462516e-16,2.59164539310672e-15,3.41840985946713e-14,-1,2.73306057274176e-17,5.7516018460452e-15,5.46612114548353e-17,1.03599278197588e-13
"Fgf13","Fgf13","NM_001290415","Midbrain","15.5",6,0,0.325575,-0.325575,-0.32555,-0.3256,-4.99999999999945e-05,3.10717828050743e-15,4.09840362321951e-14,-1,1.7128329580172e-17,3.91981822442236e-15,3.42152016640236e-17,7.40885727529421e-14
"Odf2","Odf2","NM_001113214","Midbrain","15.5",6,0.2036,0,0.2036,0.2036,0.2036,0,3.14549777765481e-15,4.14894747740838e-14,1,3.01557668226075e-17,6.00099759769888e-15,6.03115336452149e-17,1.08091456298308e-13
"Trim9","Trim9","NM_001286388","Midbrain","15.5",6,0,0.22665,-0.22665,-0.22665,-0.22665,0,3.62258236203399e-15,4.77822749055344e-14,-1,3.69001558807488e-17,7.03716722775781e-15,7.38003117614977e-17,1.26755200527784e-13
"Arhgef7","Arhgef7","NM_001113517","Midbrain","15.5",6,0.05845,0.60525,-0.5468,-0.5468,-0.5468,0,4.19446801001808e-15,5.53255118883267e-14,-1,2.76458904551004e-17,5.7516018460452e-15,5.52917809102008e-17,1.03599278197588e-13
"Ntrk2","Ntrk2","NM_001025074","Midbrain","15.5",6,0.0563,0.54905,-0.49275,-0.49275,-0.49275,0,4.19446801001808e-15,5.53255118883267e-14,-1,1.06071034026414e-17,2.55519538283631e-15,3.59469785352977e-17,7.40885727529421e-14
"Brsk2","Brsk2","NM_001009930","Midbrain","15.5",6,1,0.2932,0.7068,0.7068,0.7068,0,4.2952766660342e-15,5.66551895693926e-14,1,3.91197203745225e-17,7.16203840616759e-15,7.82394407490451e-17,1.29004411147227e-13
"Ntrk2","Ntrk2","NM_008745","Midbrain","15.5",6,0.9437,0.45095,0.49275,0.49275,0.49275,0,4.49649559396648e-15,5.9309290199767e-14,1,1.06071034026414e-17,2.55519538283631e-15,3.59469785352977e-17,7.40885727529421e-14
"Chtop","Chtop","NM_001293779","Midbrain","15.5",6,0,0.1922,-0.1922,-0.1977,-0.1867,0.011,4.49649559396648e-15,5.9309290199767e-14,-1,4.87309659884641e-19,1.48694420886133e-16,5.76329695829752e-19,1.83299137522954e-15
"Sgce","Sgce","NM_001130189","Midbrain","15.5",6,0,0.45855,-0.45855,-0.45855,-0.45855,0,6.57995148799774e-15,8.67903112872382e-14,-1,6.51844678846145e-17,1.10499744262178e-14,1.30368935769229e-16,2.06690066143641e-13
"Map4","Map4","NM_001205331","Midbrain","15.5",6,0.08125,0.5864,-0.50515,-0.50515,-0.50515,0,7.74790198393565e-15,1.02195711660696e-13,-1,7.92307624785303e-17,1.27692771345271e-14,1.58461524957061e-16,2.30003385083338e-13
"Dmtn","Dmtn","NM_001252665","Midbrain","15.5",6,0,0.51665,-0.51665,-0.51665,-0.51665,0,9.61035418199344e-15,1.26761668768721e-13,-1,1.26684384439476e-16,1.87043363735316e-14,2.53368768878951e-16,3.48137381430243e-13
"Tecr","Tecr","NM_134118","Midbrain","15.5",6,0.71285,0.2011,0.51175,0.51175,0.51175,0,1.4174204413244e-14,1.86959374323401e-13,1,4.900558634831e-17,8.62686802754673e-15,1.54005895997538e-16,2.30003385083338e-13
"Tecr","Tecr","NM_027179","Midbrain","15.5",6,0.28715,0.7989,-0.51175,-0.51175,-0.51175,0,1.70389701200499e-14,2.24745961034902e-13,-1,4.900558634831e-17,8.62686802754673e-15,1.54005895997538e-16,2.30003385083338e-13
"Sgip1","Sgip1","NM_001285859","Midbrain","15.5",6,0,0.7582,-0.7582,-0.7582,-0.7582,2.22044604925031e-16,1.72894524514316e-14,2.28049851580634e-13,-1,1.53321820093386e-16,2.19298115802321e-14,3.06643640186772e-16,3.95005202295657e-13
"Tpm1","Tpm1","NM_001164252","Midbrain","15.5",6,0,0.2053,-0.2053,-0.2048,-0.2058,-0.00100000000000003,1.97316767155226e-14,2.60263068425824e-13,-1,5.99028293672493e-16,6.23125568213409e-14,1.14539928077806e-15,1.12415565001639e-12
"Clta","Clta","NM_016760","Midbrain","15.5",6,0.0237,0.6862,-0.6625,-0.6625,-0.6625,0,2.28837289584878e-14,3.01838997345603e-13,-1,4.01539637243007e-16,4.4361523374557e-14,8.03079274486014e-16,8.27593857376812e-13
"Fam110a","Fam110a","NM_001289150","Midbrain","15.5",6,0,0.560575,-0.560575,-0.5606,-0.56055,5.00000000001055e-05,2.28837289584878e-14,3.01838997345603e-13,-1,3.18511210674487e-16,3.68179947870252e-14,6.36464688073115e-16,6.80179332104267e-13
"Armc8","Armc8","NM_028768","Midbrain","15.5",6,0.69715,0.19795,0.4992,0.4992,0.4992,-2.77555756156289e-17,2.28837289584878e-14,3.01838997345603e-13,1,1.00755072358914e-16,1.53718655395584e-14,2.87625656821784e-16,3.82458891101705e-13
"Fam57b","Fam57b","NM_001146347","Midbrain","15.5",6,0,0.48415,-0.48415,-0.48415,-0.48415,0,2.28837289584878e-14,3.01838997345603e-13,-1,2.33753690876733e-16,3.14673718571413e-14,4.67507381753465e-16,5.66798102239381e-13
"Parp6","Parp6","NM_029922","Midbrain","15.5",6,0,0.3898,-0.3898,-0.3898,-0.3898,5.55111512312578e-17,2.28837289584878e-14,3.01838997345603e-13,-1,3.21765302923533e-16,3.68179947870252e-14,6.43530605847066e-16,6.80179332104267e-13
"Lppr3","Lppr3","NM_001170935","Midbrain","15.5",6,0.2628,0.0068,0.256,0.256,0.256,8.67361737988404e-19,2.28837289584878e-14,3.01838997345603e-13,1,2.20080303429872e-16,3.05244711757129e-14,4.40160606859744e-16,5.49814341432786e-13
"Ap1s2","Ap1s2","NM_001290379","Midbrain","15.5",6,0.00705,0.94675,-0.9397,-0.9397,-0.9397,-1.11022302462516e-16,2.28962214520634e-14,3.02003774761995e-13,-1,2.52430978699748e-16,3.20937941530207e-14,5.04861957399495e-16,5.78081375914627e-13
"Dctn1","Dctn1","NM_001198866","Midbrain","15.5",6,0,0.5292,-0.5292,-0.5292,-0.5292,0,2.28962214520634e-14,3.02003774761995e-13,-1,2.51070186990208e-16,3.20937941530207e-14,5.02140373980416e-16,5.78081375914627e-13
"Kif1b","Kif1b","NM_008441","Midbrain","15.5",6,0.77815,0.1477,0.63045,0.63045,0.63045,2.77555756156289e-17,2.31840462251394e-14,3.05800216376651e-13,1,2.61160862646374e-16,3.23063045495258e-14,5.22321725292748e-16,5.81909165855015e-13
"Armc8","Armc8","NM_001166138","Midbrain","15.5",6,0.30285,0.80205,-0.4992,-0.4992,-0.4992,0,2.62739841815944e-14,3.46556850766456e-13,-1,1.00755072358914e-16,1.53718655395584e-14,2.87625656821784e-16,3.82458891101705e-13
"Pax6","Pax6","NM_001310144","Midbrain","15.5",6,0,0.3574,-0.3574,-0.3574,-0.3574,0,3.99017750501563e-14,5.26308968057488e-13,-1,1.26237140847343e-15,1.22933488012402e-13,2.52474281694686e-15,2.21430845967786e-12
"Chtop","Chtop","NM_001293778","Midbrain","15.5",6,0,0.20725,-0.20725,-0.2102,-0.2043,0.00590000000000002,4.62317205686154e-14,6.09801672066085e-13,-1,4.87309659884641e-19,1.48694420886133e-16,5.76329695829752e-19,1.83299137522954e-15
"Mtus1","Mtus1","NM_001005865","Midbrain","15.5",6,0.88465,0.0675,0.81715,0.81715,0.81715,0,5.45703971750172e-14,7.19789768439337e-13,1,8.89379326012903e-16,9.04597594480235e-14,1.77875865202581e-15,1.6293836109651e-12
"Elmo2","Elmo2","NM_207706","Midbrain","15.5",6,0.01705,0.7092,-0.69215,-0.69215,-0.69215,-1.11022302462516e-16,5.87483994043996e-14,7.74898094801363e-13,-1,9.76245671975323e-16,9.71364443615446e-14,1.95249134395065e-15,1.74964571469002e-12
"Bin1","Bin1","NM_001083334","Midbrain","15.5",6,0.99085,0.2562,0.73465,0.73465,0.73465,-5.55111512312578e-17,6.48253732905685e-14,8.55054074101069e-13,1,2.79665267850979e-16,3.36849455514192e-14,1.1120665923528e-15,1.11806169694697e-12
"Bin1","Bin1","NM_009668","Midbrain","15.5",6,0.00915,0.7438,-0.73465,-0.73465,-0.73465,1.11022302462516e-16,6.48253732905685e-14,8.55054074101069e-13,-1,2.79665267850979e-16,3.36849455514192e-14,1.1120665923528e-15,1.11806169694697e-12
"Ralyl","Ralyl","NM_001163330","Midbrain","15.5",6,0,0.20015,-0.20015,-0.20015,-0.20015,0,7.64048336422823e-14,1.00778847803955e-12,-1,1.39173141091638e-15,1.32707388911756e-13,2.78346282183276e-15,2.3903583854988e-12
"Rabgap1l","Rabgap1l","NM_001038621","Midbrain","15.5",6,0.0262,0.497,-0.4708,-0.4708,-0.4708,0,8.1412810337839e-14,1.07384426235946e-12,-1,4.07075372893029e-16,4.4361523374557e-14,1.50896956126697e-15,1.41366542003125e-12
"Rabgap1l","Rabgap1l","NM_013862","Midbrain","15.5",6,0.9738,0.503,0.4708,0.4708,0.4708,0,8.63620752966449e-14,1.13912563216914e-12,1,4.07075372893029e-16,4.4361523374557e-14,1.50896956126697e-15,1.41366542003125e-12
"Schip1","Schip1","NM_013928","Midbrain","15.5",6,0.10225,0.9212,-0.81895,-0.81895,-0.81895,-2.22044604925031e-16,9.29406724458594e-14,1.22589807957322e-12,-1,2.22754667522232e-15,2.03909622649851e-13,4.45509335044465e-15,3.74782721396813e-12
"Fhl1","Fhl1","NM_001077361","Midbrain","15.5",6,0.0559,0.4371,-0.3812,-0.3812,-0.3812,0,1.42106603270709e-13,1.87440231988548e-12,-1,2.81556583934934e-15,2.52683232288274e-13,5.63113167869869e-15,4.6424208771705e-12
"Dlk1","Dlk1","NR_033813","Midbrain","15.5",6,0.00685,0.48325,-0.4764,-0.4764,-0.4764,-1.11022302462516e-16,2.01291304437393e-13,2.65505528473914e-12,-1,5.0656515856658e-15,4.06762935220919e-13,1.01313031713316e-14,7.45754901361437e-12
"Lhx9","Lhx9","NM_010714","Midbrain","15.5",6,0,0.28295,-0.28295,-0.28295,-0.28295,0,2.08901266749625e-13,2.75543155638302e-12,-1,3.20436552016681e-15,2.75508652556473e-13,6.40873104033363e-15,5.17989195920939e-12
"Pou2f2","Pou2f2","NM_001163555","Midbrain","15.5",6,0,0.30395,-0.30395,-0.30395,-0.30395,0,2.1606399991759e-13,2.84990882455878e-12,-1,3.36602061068387e-15,2.80114115183638e-13,6.73204122136775e-15,5.33657054541455e-12
"Atp6v0a1","Atp6v0a1","NM_016920","Midbrain","15.5",6,0,0.86365,-0.86365,-0.86365,-0.86365,0,2.20239359798895e-13,2.90498229804802e-12,-1,4.64513789142033e-15,3.79657073732693e-13,9.29027578284065e-15,6.96281327542669e-12
"Arhgef7","Arhgef7","NM_017402","Midbrain","15.5",6,0.94155,0.2094,0.73215,0.73215,0.73215,-2.77555756156289e-17,2.58616682765272e-13,3.41118356909056e-12,1,2.76458904551004e-17,5.7516018460452e-15,5.52917809102008e-17,1.03599278197588e-13
"Cacnb1","Cacnb1","NM_145121","Midbrain","15.5",6,0,0.84405,-0.84405,-0.84405,-0.84405,0,3.00856456390255e-13,3.96833100525354e-12,-1,8.2923605859741e-15,6.43290413593279e-13,1.65847211719482e-14,1.15871063928941e-11
"Lhx2","Lhx2","NM_001290646","Midbrain","15.5",6,1,0.21475,0.78525,0.78525,0.78525,0,3.3335148077703e-13,4.39694408651394e-12,1,1.90753256183052e-15,1.78179112969353e-13,7.45693174223603e-15,5.79966795761647e-12
"Lhx2","Lhx2","NM_010710","Midbrain","15.5",6,0,0.78525,-0.78525,-0.78525,-0.78525,-2.22044604925031e-16,3.36289930653981e-13,4.43570257584137e-12,-1,1.90753256183052e-15,1.78179112969353e-13,7.45693174223603e-15,5.79966795761647e-12
"Dpysl3","Dpysl3","NM_001291455","Midbrain","15.5",6,0.8036,0.04325,0.76035,0.76035,0.76035,-6.93889390390723e-18,3.71564507905152e-13,4.90097827669406e-12,1,3.25048443042376e-15,2.75508652556473e-13,1.28374857257095e-14,9.12369612238136e-12
"Dpysl3","Dpysl3","NM_009468","Midbrain","15.5",6,0.19555,0.9553,-0.75975,-0.75975,-0.75975,1.11022302462516e-16,3.71564507905152e-13,4.90097827669406e-12,-1,3.25048443042376e-15,2.75508652556473e-13,1.28374857257095e-14,9.12369612238136e-12
"Triobp","Triobp","NM_001024716","Midbrain","15.5",6,0.9918,0.62175,0.37005,0.37005,0.37005,0,3.72795554582643e-13,4.91721592290519e-12,1,8.93494178915018e-15,6.70413583097383e-13,1.78698835783004e-14,1.20756556454798e-11
"Ank2","Ank2","NM_001034168","Midbrain","15.5",6,0.0809,0.40035,-0.31945,-0.31945,-0.31945,0,3.72795554582643e-13,4.91721592290519e-12,-1,2.91324630946977e-15,2.5642169920083e-13,8.90645350285681e-15,6.79876260561921e-12
"Odf2l","Odf2l","NM_025714","Midbrain","0",8,0.41735,-2.20794252002406e-17,0.41735,0.41735,0.41735,-4.41588504004812e-17,4.63703790594805e-13,6.11630593389707e-12,1,8.44646994132903e-15,6.44324882024383e-13,1.68929398826581e-14,1.16057394947063e-11
"Ank2","Ank2","NM_178655","Midbrain","15.5",6,0.9191,0.59965,0.31945,0.31945,0.31945,0,4.73572779943287e-13,6.24647903003731e-12,1,2.91324630946977e-15,2.5642169920083e-13,8.90645350285681e-15,6.79876260561921e-12
"Morf4l2","Morf4l2","NM_001168229","Midbrain","15.5",6,0.0313,0.5236,-0.4923,-0.4923,-0.4923,-1.11022302462516e-16,5.08186442329983e-13,6.70303718837820e-12,-1,2.21674360878941e-14,1.5853180464733e-12,4.43348721757882e-14,2.90083978490082e-11
"Rnf44","Rnf44","NM_134064","Midbrain","15.5",6,0,0.31695,-0.31695,-0.31695,-0.31695,5.55111512312578e-17,5.72149431777047e-13,7.5467163211346e-12,-1,2.16664400944572e-14,1.57408406844969e-12,4.33328801889143e-14,2.8810095539502e-11
"Cldnd1","Cldnd1","NR_045517","Midbrain","15.5",6,0.9449,0.4923,0.4526,0.4526,0.4526,0,8.9575981433589e-13,1.18151742101168e-11,1,2.29003068297104e-14,1.61253391322437e-12,4.58006136594207e-14,2.94991943299158e-11
"Mtus1","Mtus1","NM_001005864","Midbrain","15.5",6,0.02795,0.91495,-0.887,-0.887,-0.887,-2.22044604925031e-16,9.36291281112388e-13,1.23497888839297e-11,-1,8.89379326012903e-16,9.04597594480235e-14,1.77875865202581e-15,1.6293836109651e-12
"AI854517","AI854517","NR_040313","Midbrain","15.5",6,0,0.519675,-0.519675,-0.5197,-0.51965,4.99999999998835e-05,9.82927459376449e-13,1.29649253991712e-11,-1,2.57569870316749e-14,1.76893299048121e-12,5.1469222626596e-14,3.23452240580021e-11
"Clasp1","Clasp1","NM_001293300","Midbrain","15.5",6,0.0259,0.4545,-0.4286,-0.4286,-0.4286,-1.11022302462516e-16,1.30168582935997e-12,1.71693846883842e-11,-1,2.58943653839285e-14,1.76893299048121e-12,5.1788730767857e-14,3.23452240580021e-11
"Lpin1","Lpin1","NM_172950","Midbrain","15.5",6,0,0.646125,-0.646125,-0.6461,-0.64615,-5.00000000001055e-05,1.44093241741033e-12,1.90060630810167e-11,-1,2.9355098381372e-14,1.97585713664029e-12,5.86596205110467e-14,3.55589696349186e-11
"Rufy3","Rufy3","NM_001289774","Midbrain","15.5",6,0.8292,0.07365,0.75555,0.75555,0.75555,0,1.80167790581027e-12,2.37643372553488e-11,1,6.18935447390281e-14,3.88064046945934e-12,1.23787089478056e-13,7.08698783470799e-11
"Slc25a25","Slc25a25","NM_001164358","Midbrain","15.5",6,0.0682,0.43665,-0.36845,-0.36835,-0.36855,-0.000199999999999978,1.94267496670252e-12,2.56241045845983e-11,-1,5.40106166343755e-14,3.48178299064136e-12,1.07171846403247e-13,6.31104831365314e-11
"Triobp","Triobp","NM_001039155","Midbrain","15.5",6,0.00535,0.30985,-0.3045,-0.3045,-0.3045,0,1.95727769985197e-12,2.58167163018727e-11,-1,8.93494178915018e-15,6.70413583097383e-13,1.78698835783004e-14,1.20756556454798e-11
"Neo1","Neo1","NM_001042752","Midbrain","15.5",6,0.9301,0.2224,0.7077,0.7077,0.7077,-5.55111512312578e-17,1.98813666546689e-12,2.62237495811614e-11,1,1.42964767685177e-14,1.05540280918557e-12,5.65452307187196e-14,3.47888449494975e-11
"Neo1","Neo1","NM_008684","Midbrain","15.5",6,0.0699,0.7776,-0.7077,-0.7077,-0.7077,0,1.98832221901706e-12,2.62261970536708e-11,-1,1.42964767685177e-14,1.05540280918557e-12,5.65452307187196e-14,3.47888449494975e-11
"Spock1","Spock1","NM_009262","Midbrain","15.5",6,0,0.62335,-0.62335,-0.62335,-0.62335,1.11022302462516e-16,2.00460474378243e-12,2.64409654141225e-11,-1,5.82948091984346e-14,3.70576863473938e-12,1.16589618396869e-13,6.76893531654163e-11
"Clta","Clta","NM_001080384","Midbrain","15.5",6,0.8964,0.22175,0.67465,0.67465,0.67465,0,2.05655651803886e-12,2.71262152473263e-11,1,4.01539637243007e-16,4.4361523374557e-14,8.03079274486014e-16,8.27593857376812e-13
"Clasp2","Clasp2","NM_001114347","Midbrain","15.5",6,0.58455,0.0458,0.53875,0.53875,0.53875,0,2.08168142118637e-12,2.74576155880752e-11,1,9.28000505729801e-14,5.24377569719173e-12,1.8560010114596e-13,9.68433823468492e-11
"Arvcf","Arvcf","NM_033474","Midbrain","15.5",6,0,0.213375,-0.213375,-0.2137,-0.21305,0.000650000000000012,2.19820804496011e-12,2.89946150582114e-11,-1,6.60322940724617e-14,3.99220222087171e-12,1.29138439696849e-13,7.28673164971092e-11
"Lingo2","Lingo2","NM_001166001","Midbrain","10.5",1,0,0.56675,-0.56675,-0.56675,-0.56675,0,2.21915265268753e-12,2.9270876825151e-11,-1,6.73706166031206e-14,4.00461444405822e-12,1.34741233206241e-13,7.30812147427169e-11
"Dync1i2","Dync1i2","NM_001198874","Midbrain","15.5",6,0.0039,0.53175,-0.52785,-0.52785,-0.52785,0,2.66149663290556e-12,3.51054444217643e-11,-1,1.22475198574227e-13,6.37010208947998e-12,2.44950397148454e-13,1.20203660657593e-10
"Camk2a","Camk2a","NM_177407","Midbrain","15.5",6,0.00175,0.9512,-0.94945,-0.94945,-0.94945,0,2.82226723316189e-12,3.7226026992553e-11,-1,6.62895715067184e-14,3.99220222087171e-12,1.32579143013437e-13,7.28673164971092e-11
"Sncaip","Sncaip","NM_001199151","Midbrain","15.5",6,0,0.535875,-0.535875,-0.5359,-0.53585,4.99999999999945e-05,2.82226723316189e-12,3.7226026992553e-11,-1,6.61603368399748e-14,3.99220222087171e-12,1.32208119111644e-13,7.28673164971092e-11
"Nnat","Nnat","NM_180960","Midbrain","15.5",6,0.26985,0.66875,-0.3989,-0.3989,-0.3989,0,2.89067305756052e-12,3.81283076255101e-11,-1,1.03909223533746e-13,5.6618156680233e-12,2.28630368857148e-13,1.14931452817592e-10
"Shox2","Shox2","NM_001302359","Midbrain","10.5",1,0.2487,0,0.2487,0.2487,0.2487,0,2.9756089060243e-12,3.92486211629371e-11,1,9.50901623719518e-14,5.30765455093199e-12,1.90180324743904e-13,9.79928592060328e-11
"Asap2","Asap2","NM_001098168","Midbrain","15.5",6,0,0.758325,-0.758325,-0.7583,-0.75835,-4.99999999998835e-05,3.78769403408366e-12,4.99601167088497e-11,-1,9.16890063375689e-14,5.24377569719173e-12,1.83192972536942e-13,9.68128575193084e-11
"Wnt7b","Wnt7b","NM_001163634","Midbrain","15.5",6,0.0044,0.24225,-0.23785,-0.23785,-0.23785,0,4.40032339998074e-12,5.80407679821755e-11,-1,1.07573616712799e-13,5.72516794993583e-12,2.15147233425597e-13,1.09488770500117e-10
"Mad2l2","Mad2l2","NM_027985","Midbrain","15.5",6,0.8948,0.46175,0.43305,0.43305,0.43305,0,4.42164399564052e-12,5.83219890728654e-11,1,3.77276838850785e-14,2.46685155917149e-12,1.45539452440992e-13,7.79128056076945e-11
"Mad2l2","Mad2l2","NM_001305420","Midbrain","15.5",6,0.1052,0.53825,-0.43305,-0.43305,-0.43305,0,4.54074441528392e-12,5.98929372043443e-11,-1,3.77276838850785e-14,2.46685155917149e-12,1.45539452440992e-13,7.79128056076945e-11
"Kif21a","Kif21a","NM_001109040","Midbrain","15.5",6,0.013,0.1643,-0.1513,-0.1513,-0.1513,0,4.72905252267863e-12,6.23767426379418e-11,-1,1.58680359473118e-13,7.98109895943366e-12,3.17360718946235e-13,1.5036707460803e-10
"Nnat","Nnat","NM_010923","Midbrain","15.5",6,0.66565,0.29515,0.3705,0.3705,0.3705,-5.55111512312578e-17,4.9080443432902e-12,6.47376651853321e-11,1,1.03909223533746e-13,5.6618156680233e-12,2.28630368857148e-13,1.14931452817592e-10
"Camsap1","Camsap1","NM_001276359","Midbrain","15.5",6,1,0.19935,0.80065,0.80065,0.80065,-2.77555756156289e-17,6.34689374915938e-12,8.37162531063266e-11,1,1.43552868646506e-13,7.38248853702312e-12,3.25533737074401e-13,1.52486769437958e-10
"Capzb","Capzb","NM_001037761","Midbrain","15.5",6,0.58165,0.0383,0.54335,0.54335,0.54335,0,6.65739623294757e-12,8.78118163141396e-11,1,1.72490468909851e-13,8.58140082826507e-12,3.44980937819701e-13,1.59627489977995e-10
"Hist2h2aa1","Hist2h2aa1","NM_013549_1","Midbrain","11.5",2,0,1,-1,-1,-1,0,6.73123465308624e-12,8.87857535050873e-11,-1,1.17771062477102e-13,6.19584083859421e-12,2.35542124954204e-13,1.16979383512754e-10
"Lingo2","Lingo2","NM_001166001","Midbrain","11.5",2,0,0.4903,-0.4903,-0.4903,-0.4903,0,7.14332786253869e-12,9.42213099819055e-11,-1,6.73706166031206e-14,4.00461444405822e-12,1.34741233206241e-13,7.30812147427169e-11
"Syn1","Syn1","NM_013680","Midbrain","15.5",6,0,0.337875,-0.337875,-0.3379,-0.33785,4.99999999999945e-05,7.66124528338871e-12,1.01052699887842e-10,-1,7.05191463535863e-14,4.13802734436365e-12,2.72678028058933e-13,1.32236105660194e-10
"Syn1","Syn1","NM_001110780","Midbrain","15.5",6,1,0.662125,0.337875,0.3379,0.33785,-4.99999999999945e-05,7.84611693251414e-12,1.03491178044565e-10,1,7.05191463535863e-14,4.13802734436365e-12,2.72678028058933e-13,1.32236105660194e-10
